## I'm sorry, I'm just not going to keep the Queen's english.
colour color
EOL eol
roundbox RoundBox
boxheaderflag BoxHeaderFlag
boxfooterflag BoxFooterFlag
cr CR
lf LF
vb VB
ps PS
tt LF
arrowdown ArrowDown
aspat AspAt
attributeunknown AttributeUnknown
backticks BackTicks
baddirective BadDirective
badstringchar BadStringChar
beforedelete BeforeDelete
beforeinsert BeforeInsert
binnumber BinNumber		
blackonwhite BlackOnWhite
blitzbasic BlitzBasic
boxminus BoxMinus
boxminusconnected BoxMinusConnected
boxplus BoxPlus
boxplusconnected BoxPlusConnected
bracebad BraceBad
bracedstring BracedString
bracelight BraceLight
calltip CallTip
cdata CData
changefold ChangeFold
changemarker ChangeMarker
changestyle ChangeStyle
charactereol CharacterEol 
circleminus CircleMinus
circleminusconnected CircleMinusConnected
circleplus CirclePlus
circleplusconnected CirclePlusConnected
classname ClassName
clw Clw
clwnocase ClwNoCase
color Color
colouronwhite ColorOnWhite
colouronwhitedefaultbg ColorOnWhiteDefaultBackground
commentblock CommentBlock
commentbox CommentBox
commentdoc CommentDoc
commentdockeyword CommentDocKeyword
commentdockeyworderror CommentDocKeywordError
commentline CommentLine
commentlinebang CommentLineBang
commentlinedoc CommentLineDoc
comobj ComObj
controlchar ControlChar
cpp Cpp
cppnocase CppNoCase
cpuinstruction CpuInstruction
crlf Crlf
csound CSound
cstyle CStyle
ctag CTag
datasection DataSection
defname DefName
defval DefValue
defword DefWord
deletetext DeleteText
directiveoperand DirectiveOperand
dotdotdot Ellipsis
doublequotestring DoubleQuoteString
doublestring DoubleString
easteurope EastEurope
edgecolour EdgeColor
eiffelkw EiffelKW
erlang Erlang
errorlist ErrorList
escript EScript
extinstruction ExtInstruction
folderend FolderEnd
foldermidtail FolderMidTail
folderopen FolderOpen
folderopenmid FolderOpenMid
foldersub FolderSub
foldertail FolderTail
foldlevelprev FoldLevelPrevious
fortran Fortran
freebasic FreeBasic
fullrect FullRectangle
functiondef FunctionDef
gcc Gcc
globalclass GlobalClass
headerflag HeaderFlag
headerstmt HeaderStatement
hexnumber HexNumber
hexstring HexString
ideol IDEol
ifc IfC
ifdefinedef IfDefineDef
ifort Ifort
immeval ImmEval
indentguide IndentGuide
inno Inno
innosetup InnoSetup
inserttext InsertText
instr Instr
invertlight InvertLight
ismultiline IsMultiLine
ismultistep IsMultiStep
johab Johab
kix Kix
kwsend KWSend
lastpredefined LastPredefined
lcorner LCorner
lcornercurve LCornerCurve
leadws LeadWS
levelnumbers LevelNumbers
lexers Lexers
linenum CamlLineNumber
linenumber LineNumber
literalstring LiteralString
longquote LongQuote
lparam LParam
## lpstrtext Text
lua Lua
macrodef MacroDef
makefile MakeFile
matchcase MatchCase
mathinstruction MathInstruction
matlab Matlab
metapost MetaPost
mmixal Mmixal
mssql MSSql
nmhdr NativeMessageHeader
nncrontab NNCronTab
nsis Nsis
numbermask NumberMask
oid Oid
pageex PageEx
param Parameter
php Php
phpscript PhpScript
pixmap PixMap
pov Pov
powerbasic PowerBasic
preproc PreProc
printcolourmode PrintColorMode
pseudoclass PseudoClass
purebasic PureBasic
quotedidentifier QuotedIdentifier
quotedstring QuotedString
rebol Rebol
regexp RegularExpression
regextag RegularExpressionTag
regsubst RegularExpressionSubstitution
roundrect RoundRectangle
scriptol Scriptol
sectiondef SecionDef
sectiongroup SectionGroup
selalpha SelectionAlpha
shiftjis ShiftJis
shortarrow ShortArrow
singlestring SingleString
slashcommand SlashCommand
smallrect SmallRect
specman SpecMan
sqlplus SqlPlus
starcommand StarCommand
stderr StdErr
stdfunction StdFunction
stdin StdIn
stdoperator StdOperator
stdout StdOut
stdpackage StdPackage
stdtype StdType
stepinundoredo StepInUndoRedo
string String
stringdq StringDQ
stringeol StringEol
stringlq StringLQ
stringrq StringRQ
stringvar StringVar
subsectiondef SubsectionDef
symboltable SymbolTable
systable SysTable
tagend TagEnd
tagname TagName
tagunknown TagUnknown
tcl Tcl
tcorner TCorner
tcornercurve TCornerCurve
tripledouble TripleDouble
udf Udf
userdefined UserDefined
userkeyword UserKeyword
userword UserWord
uuid Uuid
vbscript VBScript
verilog Verilog
vhdl Vhdl
visibleafterindent VisibleAfterIndent
visiblealways VisibleAlways
vline VLine
void Void
whiteflag WhiteFlag
wholeword WholeWord
wordstart WordStart
wparam WParam
xccomment XCComment
xcode XCode
xmlend XmlEnd
xmlstart XmlStart
yaml Yaml
HotSpot Hotspot
HotSpotClick HotspotClick
HotSpotDoubleClick HotspotDoubleClick
URIDropped UriDropped
here_delim HereDelimiter
sgml_1st_param Sgml1stParameter
sgml_1st_param_comment Sgml1stParameterComment
Colourise Colorize
MarkerSetBack MarkerSetBackgroundColor
MarkerSetFore MarkerSetForegroundColor
UpperCase Uppercase
LowerCase Lowercase
IsBackSpaceUnIndents BackspaceUnIndents
SetWhitespaceFore SetWhiteSpaceForeground
SetWhitespaceBack SetWhiteSpaceBackground
UsePopUp UsePopup
linebefore_expanded LineBefore_Expanded 
linebefore_contracted LineBeforeContracted
lineafter_expanded LineAfterExpanded
lineafter_contracted LineAfterContracted
SqlplusPrompt SqlPlusPrompt
SqlplusComment SqlPlusComment
1st_param Sgml1stParameter
1st_param_comment Sgml1stParameterComment
simplestring SimpleString
hstring HString
hstringvariable HStringVariable
msgparam MessageParameter
sqlplus SqlPlus
here_qq Here_QQ
here_qx Here_QX
string_qq String_QQ
string_qx String_QX
string_qr String_QR
string_qw String_QW
pod_verb Pod_Verb
preprocinline PreProcessorInLine
unknownpseudoclass UnknownPseudoClass
ReplaceSel ReplaceSelection
SearchPrev SearchPrevious
setselfore SetSelectionForeground
setselback SetSelectionBackground
GetSelText GetSelectedText
GetLineSelEndPosition GetLineSelectionEndPosition
GetLineSelStartPosition GetLineSelectionStartPosition
SetSel SetSelection
Ip IP
Keywordkw KeywordKW
CommentMl CommentML
Ms MS
Ideol IdEol
CaretLineBack CaretLineBackgroundColor
CaretLineBackAlpha CaretLineBackgroundAlpha
